장,조,내용,LABEL 1,LABEL 1 근거,LABEL 2,LABEL 2 근거
제1장 총칙,제1조 (목적),"이 약관은 주식회사 웹젠(이하 “회사”라 합니다)이 온라인으로 제공하는 게임 및 이에 부수된 제반 서비스(이하 “게임서비스”라 합니다)의 이용과 관련하여 회사와 회원 간의 권리, 의무 및 책임사항, 기타 필요한 사항을 규정함을 목적으로 합니다.",0,,,
제1장 총칙,제2조 (용어의 정의),① 이 약관에서 사용하는 용어의 정의는 다음과 같습니다.,0,,,
제1장 총칙,제2조 (용어의 정의),① 이 약관에서 사용하는 용어의 정의는 다음과 같습니다.1. “회사”라 함은 온라인을 통하여 게임서비스를 제공하는 사업자를 의미합니다.,0,,,
제1장 총칙,제2조 (용어의 정의),① 이 약관에서 사용하는 용어의 정의는 다음과 같습니다.2. “회원”이라 함은 이 약관에 동의하고 게임서비스 이용 자격을 부여 받은 자를 의미합니다.,0,,,
제1장 총칙,제2조 (용어의 정의),"① 이 약관에서 사용하는 용어의 정의는 다음과 같습니다.3. “게임서비스”라 함은 회사가 회원에게 온라인으로 제공하는 게임 및 이에 부수된 제반 서비스(예: 아이템의 제공, 상품의 제공 등)를 의미합니다.",0,,,
제1장 총칙,제2조 (용어의 정의),"① 이 약관에서 사용하는 용어의 정의는 다음과 같습니다.4. “게임세계”라 함은 게임서비스를 통해 다중의 회원이 일정한 규칙(이하 “게임규칙”이라 합니다)에 따라 오락을 하거나 오락에 부수하여 여가선용, 친목도모, 정보매개 등을 할 수 있도록 게임성을 구현한 가변적인 가상세계를 의미합니다.",0,,,
제1장 총칙,제2조 (용어의 정의),"① 이 약관에서 사용하는 용어의 정의는 다음과 같습니다.5. “계정(ID)”이라 함은 회원의 식별과 게임서비스 이용을 위하여 회원이 선정하고 회사가 부여하는 문자, 숫자 또는 특수문자의 조합을 의미합니다.",0,,,
제1장 총칙,제2조 (용어의 정의),"① 이 약관에서 사용하는 용어의 정의는 다음과 같습니다.6. “계정정보“라 함은 회원의 계정, 비밀번호, 성명 등 회원이 회사에 제공한 일반정보 및 게임이용정보, 이용요금 결제상태 등 생성정보를 통칭합니다.",0,,,
제1장 총칙,제2조 (용어의 정의),① 이 약관에서 사용하는 용어의 정의는 다음과 같습니다.7. “캐릭터”라 함은 회원이 게임서비스의 이용을 위하여 회사가 게임세계 내에서 제공하는 방식에 따라 선정하고 조종하는 게임데이터를 의미합니다.,0,,,
제1장 총칙,제2조 (용어의 정의),"① 이 약관에서 사용하는 용어의 정의는 다음과 같습니다.8. “비밀번호”라 함은 회원이 부여 받은 계정과 일치되는 회원임을 확인하고 회원의 정보 및 권익보호를 위해 회원 자신이 선정하여 비밀로 관리하는 문자, 숫자 또는 특수문자의 조합을 의미합니다.",0,,,
제1장 총칙,제2조 (용어의 정의),"① 이 약관에서 사용하는 용어의 정의는 다음과 같습니다.9. “캐시”라 함은 게임서비스를 이용 또는 구매하기 위해 사용되는 가상의 데이터로서 회원이 대금을 지급하고 구입하는 것을 의미합니다.(예: 웹젠 캐시, 뮤 캐시, 썬 캐시, 메틴 캐시 등)",0,,,
제1장 총칙,제2조 (용어의 정의),① 이 약관에서 사용하는 용어의 정의는 다음과 같습니다.10. “충전”이라 함은 회원이 회사에 대금을 지급하고 캐시를 구매하는 것을 의미합니다.,0,,,
